,text,sentiment
43,"You can follow the trajectory by watching it slowly and understanding it.After that, if the trajectory is stable and circular, you win.",positive
44,I have a body,negative
45,Raises work motivation,negative
46,"I'd like to try a simple remodeling of the original pre-color like a belcala stick, but I don't have a good clasp at hand...",negative
47,"Come to think of it, I prepared it together with Rasson so that I could make a yellow Mavimaka mod, but I don't need it.What should I do?",negative
48,Let's work while watching baseball (^^),positive
49,I always feel like it's a pitcher's duel when Tajima pitches,neutral
50,2 points is in the category of good throws--support the batting line-up,positive
51,Sleep. thank you for your hard work,neutral
52,Not enough isuzu,negative
53,mouth ulcer,negative
54,"I'm also doing radio in the 3rd season of Guile
Seriously stupid and loner radio have the same vibe",neutral
55,Canker sores and burns make me not want to eat anymore,negative
56,"I'm trying to make up for what I can't eat because of Kwon Nayen with coffee, so I'm drinking so much it's crazy",negative
57,"For some reason, the tap water stings my mouth ulcers, so when I looked it up, it turned out to be chlorine.Can I believe this?",negative
58,"I wondered if it was because of the osmotic pressure, and when I looked it up, it turned out to be true, and it seems that saline doesn't stain.",neutral
59,"A red poop came out, but is this colon cancer?",negative
60,shall we sleep. I'm tired of removing,negative
61,Darwin's Game! ?,neutral
62,"It's better not to do this type of advice, after passing through the message game, people tend to create fake evaluation criteria such as ""If you do this, you're a fucking FS.""",negative
63,"For beginners, I think it's a shortcut to improve if you think about why people say that, if there are exceptions, and if there are exceptions, rather than just waiting to stop thinking about what to do.
However, improving is not equal to being evaluated, so there are quite a few people who work seriously and die.",negative
64,"It was a very fast project, and it paid off",positive
65,100 SD cards I want about 1000 microSD cards,neutral
66,"The BGM of the recipe video that my nephew was playing on his smartphone is really good... I wanted to know the name of the song, but I got stuck because there were no credits.",negative
67,"I want to run the N gauge, but the rental layout brings back the trauma of being unable to run all the vehicles I have on hand...",negative
68,"If I'm going to run it, I'd like to do it on my own rails.",positive
69,"In the first place, I try to talk about things other than pen spinning as much as possible, so there are quite a few ""sleep"" at the opening.",neutral
70,I like the girls Jocchi-sensei draws,positive
71,Wakatsuki really swings the ball,negative
72,"I'm too weak and I'm still in the game, but let's do a PCR test (suggestion)",positive
73,Toritani is cursed and grass is usually pitiful,negative
74,"Twitter suddenly stopped updating, but can I think of it as a flag that will fix the bug next time?",neutral
75,"When I glanced at the story of the disaster, I was scared to see a video of the explosion",negative
76,shock wave,negative
77,"Looking at the otaku purveyor's wikipedia page ""List of large explosions other than nuclear explosions caused by humans"", the latest was still vegetables",neutral
78,"Speaking of which, depending on the person, the explosion at the aluminum factory at Soja is not listed in the ~ guy.",negative
79,Mustard enters on days when I can't go to shoot again,negative
80,"The story progresses nicely with episodes 3 and 4, and I'm drawn to it.",positive
81,.,neutral
82,"Heck, not only is the parent's association over-interfering with what the current students do, but even the graduates are giving their opinions about this and that.",negative
83,"What kind of idle university student is being put in an excessively disgusting position?
Was there a convincing reason in the story to go that far? When I think about it, is it a self-criticism of the otaku ideals or is Watari-sensei simply fond of creepy older people?",negative
84,"I can think about various things, and I guess Guile is in my favorite category. Nori is disgusting though.",neutral
85,"I made a list of the accounts of people who haven't returned no matter how long it took, and set the image of the anime that won't come back for a second season no matter how long it takes.",neutral
86,"But if those people return, they will probably forget their ID/PW and create another account ()",neutral
87,"It's definitely not a good idea to look at Wikipedia's ""List of Japanese accidents"" at this time... Or rather, stop wasting your time on Wikipedia.",negative
88,It's not something that someone who was thinking of going to sleep like shiko is feeling very heavy,negative
89,"No, this is because of the fuss that JL123 was displayed, and I'm not bad",negative
90,It would have been nice if it was something like the 0 Series Shinkansen that sucked up the time (it was too long and took about 2 hours).,neutral
91,"ξゑ, you're getting close to the truth",neutral
92,"I can't go far, so I'm going to gather quietly in my hometown and have fun.",negative
93,"NakanoIt's disgusting, but I feel sorry for him, so should I promote him to mute?",negative
94,"Eh, the Giants are throwing fielders wwww",neutral
95,"Oryx won
Fukuya has become a pitcher with more wins than Tajima (...;)",neutral
96,"Stop saying things like three-colored cheese
It's a handsome P that the Buffaloes are proud of.",neutral
97,"I think that all ORIX fans have a wish for the left Curve P to come again, Nobuyuki Hoshino! I want to say",positive
98,"I thought that the copy CV culture would die out in modern CVs, where there are many evolving spinners like mutations, but it's amazing that there are people who can make it happen by themselves.",positive
99,"I thought it was already August, but as soon as I remembered ""something"", my mood changed to ""It's still August""",negative
100,Proceed at a pace of one month a day (God who governs time),neutral
101,I want to ride a passenger train,neutral
102,"To all Android users
The problem with the official app is still not fixed, so it's a good idea to open Twitter in Chrome and do ""Add to Home Screen""
From me",positive
103,"I thought it was just a shortcut link, but it started as a standalone app, so I was surprised
It seems that it is a specification called PWA",positive
104,feel sick,negative
105,autonomic nervous system dysfunction,negative
106,Yu Suzuki→Fukuya→Sakakibara I feel like every week two people are burning and one person is throwing well.,neutral
107,"16 hits, 1 score, meaning unknown",negative
108,No one remembers that Adachi had difficulty defending until about his second year with the team.,negative
109,tone too,negative
110,"I feel like I'm free at this time, but I'm feeling a bug, aren't I? Let's go to sleep",negative
111,"Somehow, even Higashi-Mikawa is caught up in the Kanto and Nagoya mischief! ! !

I want to say that, but Toyohashi is also relatively infected, so yes",negative
112,I want to always have an infinite number of cup noodles at home,neutral
113,"If you can't sing the cheering song chorus, let's sing on behalf of someone else",positive
114,Let's watch anime! I don't see anything while saying,negative
115,This is my 2nd week,neutral
116,"I wasn't sure which one to go with Nozaki-kun, but both are Ari Ozawa.
There was also the option of Stella's magic, but that was also Ozawa Ari.",positive
117,Mizuki Usami has a nice face,positive
118,"At the stage of episode 1, it was subtle ~ don't remember
The two men are disgusting and can't communicate well.",negative
119,Watching anime and tweeting as much as you like~~~~~,positive
120,"Usami-san is more violent than I remembered, and Uchimaki is disgusting!",negative
121,I was able to see off Orix losing again today,positive
122,"It seems that many people are already more concerned about the results of each player rather than winning or losing.
Masanao Yoshinobu Tajima is a player who can fight for the title, and Adachi Wakatsuki is likely to produce good numbers even if he has fewer at-bats.",positive
123,I became Miko Iino (herself),neutral
124,"Maybe it's the result of muscle training, but I'm getting hungry more easily, but the feeling is disgusting, and I'm feeling sick.",negative
125,"It turns out I've always thought that Yotsuba Nakano looked familiar.
Konomiya Usami's friend who often appears",positive
126,GIF MAGAZINE also has GIFs posted by individuals. I didn't notice it because I couldn't search the site.,negative
127,Eat bracken-starch dumplings that have passed the expiration date for 3 days,negative
128,I like the one-piece bracken-starch dumplings sold at supermarkets.,positive
129,"When you look at this beauty, the corners of your mouth will rise and you'll break through the ceiling...",positive
130,"As I remembered, the comedy elements were modest in the beginning, but the love elements were fully open from the beginning.",neutral
131,"Even though she's this cute, she punches someone every episode",neutral
132,Foreign tourists may have wandered into Oshiage if I had obediently (annoyance),negative
133,Echigo Tokimeki Railway Nihonkai Hisui Line Echigo Oshiage Hisui Kaigan Station If you don't want to go home? (athletic club activities),negative
134,Ari Ozawa got a big fucking voice when she got married,neutral
135,"Voice actors who debuted after I became an anime otaku got married and gave birth, and I can't help but feel the flow of time",negative
136,"It's partly because I only know fragments, but I still feel like Ari Ozawa is a voice actress who came out recently.But it's true that Akizuki came to KanColle a long time ago...",negative
137,"Masayoshi Oishi just got married, and Nozaki-kun's flow is coming.",positive
138,"Well then, while congratulating Ari Ozawa, let's take a look at the second week of this beauty today.",positive
139,"Because of Guile, when I see scenes where the setting sun shines in other anime, I feel like I've grown thicker",neutral
140,"Speaking of otaku, it's a shadow! ! I feel nostalgic for the anime that gives nerds the chuunibyou attribute.",neutral
141,I wonder if this story of being trapped in beauty and the story of the treasure hunt were the same episode.,positive
142,"When you hear a treasure hunt game, it's the one where there are a lot of dead people! ? CV Yusuke Kobayashi is also there",neutral
143,You should stop trying to get adverts by saying that your area of ​​expertise encompasses everything.,negative
144,"""I'm getting married to a mustache driver~ Who is... Ari Ozawa!?""
“Rika Tachibana is getting married, isn’t she? Kenya Wakatsuki!?”
I noticed that this surprised pattern is exactly the same",neutral
145,It is pointed out that the reason why Orix is ​​useless is that it puts too much emphasis on the use of utility players.,negative
146,"It's hot and I'm running, and I'm going to make a stepping stone and go up and down?",neutral
147,It's better to get up early and jump rope in the shade (because I'm a shade person),positive
148,Speak as if you've never done it before,neutral
149,"I might like the story ""This is not today"" the most",positive
150,"Yamamoto and Senga's Throwing Match! ! I'm fanning it, but this year's Yoshinobu is poop other than Kyocera, and last time Kyocera also burned, so don't expect it",neutral
151,"Masanao has a good relationship with the stadium, but I don't know because he's out of shape
Why are Tokada and Rodriguez in the starting lineup?",negative
152,"I think it's normal HR now, but when there's no video that can be verified, it would be nice if the number of request failures didn't decrease.",neutral
153,I got 2 points,neutral
154,I'm sorry T-Okada,negative
155,Does this mean Kawase temporarily joined Orix and played 10-8 baseball?,neutral
156,I got the right to be the winning pitcher.,neutral
157,"If you hit the core and fly it up, it's a home run, you're a superhuman",positive
158,Are you talking about Darwin's Game?,neutral
159,Ah~~~ Study times were really good~~~^^,positive
160,"Usami-san's friend, Kaori, didn't pay much attention to her during the rear tie, but she's a pretty good character.",positive
161,"Some parts aren't really funny, but when you watch it through, I think it's a very funny anime, and it's good at drawing you into the pace.",positive
162,Amazing that even lossless compressed AVI version is available,positive
163,"Every time I think it's good that the focus is perfect and it's sharp even when you zoom in to some extent.
Onedrive's preview is arbitrarily enlarged, but it's hard to see and I don't think it was originally 240p",positive
164,The preparation of the overseas pick-up has entered the consideration stage,positive
165,Maybe in 2 days I'll say goodbye,negative
166,There is only a video of the PSH World Tournament,neutral
167,"I really like Kaguya-sama, but aside from that, the otaku's comment that ``the kids who are promised in the future are going to be happy and sad because it's like love'' is really interesting.",positive
168,"A thunderous cheer rose from every corner of the apartment the moment it finished playing, followed by thunderous applause that lasted for three days and three nights.",positive
169,Completely defeated by Iroha Isshiki,positive
170,"I can't remember when we talked about it Keywords suddenly appear, so I don't even know where to look again",negative
171,It's sad that Tajima is almost guaranteed to be unsupported today as well.,negative
172,Focus or sharpness rather than resolution,neutral
173,Is it the principle that aging can be suppressed because time doesn't advance as much as you feel when you look at the anti-shake?,neutral
174,"I jumped
I thought I might have a heat stroke",negative
175,"If you fall down with a serious problem, it won't be fashionable, so let's finish it after about 25 minutes.",negative
176,College students make money as test supervisors and signboard bearers,neutral
177,Everyone who wants to spin a pen like a balance type in Beyblade,neutral
178,Let's really stop putting an accidental slugging type hitter right after Masanao.,negative
179,"Jones's appearance song should be like spring
I don't want a replica like this.",negative
180,"I'm glad that the comics editor who requested the job in March reported his survival on twitter.
It's a big project for me, and it depends a lot on whether or not I can put it in my portfolio, so I'll release it soon...",positive
181,"For those who are lamenting that there is nothing to do even after consecutive holidays, please watch the full episode distribution of GYAO's Inu x Boku SS starting on the 14th.",positive
182,"Even if you talk normally on the radio, you're cute, so you're invincible Sakura Ayane",positive
183,sore muscles,negative
184,Kokoro* Palette Lover,positive
185,It's scary to spin a pen that you can gradually do the tricks that you thought you wouldn't like when you first saw it,neutral
186,"Rather, what is a power trick that you can't do even though you already know the principle?",negative
187,"It was a day game today
It's surprising that Fukuya is throwing well, but without support, it's Orix after all...",neutral
188,"Was it a waste of time? I thought that too, but even considering Fukuya's good pitching, it's more meaningful to sleep than watch the poop team that can't hit.",neutral
189,"If I win, you're making a fool of me, aren't you? While saying that, I wrap aluminum foil around my head (on the day I forgot to watch it, I'll lose quickly)",negative
190,"I don't know why I was suppressing it, but I don't know if Orix is ​​too weak and the opponent has a handicap to fight with the second army player until the 7th inning?",neutral
191,"Even though I was throwing a good pitch, I got burnt at the end and became a dick halfway through.",negative
192,"After all, professional baseball is a competition to develop weapons.",neutral
193,"There is a video of making a beyblade axis with bondic
light curing? So it seems to be relatively flexible",neutral
194,"I like Chan Rina's acting best when she's Ririchiyo-sama
Kochou and Kobachi are the runners-up",positive
195,"It was too hot and the dehumidifier couldn't keep up with it, so when I switched to air conditioning, the humidity returned to the beginning and everyone in the apartment died.",negative
196,"Whether it's the current or the noise from the outdoor unit, I want to be able to notice when the thermostat turns off.
I can't increase the output of the dehumidifier, so I want to use the cooling mode (although I feel strange about that specification)",neutral
197,It's embarrassing to say that I'm doing muscle training because of how many kilos of dumbbells I have,negative
198,Time was sucked by wikipedia again! !,negative
199,muscle pain,negative
200,"hard to do something
it's hard to do nothing",negative
201,"Relying on the song and the performers, editing is just a suitable CV for the atmosphere",neutral
202,"I don't think Okada, who is next to Masanao, is very good, but if he has good chemistry against the Hawks...",neutral
203,Orix can score more than 2 points per game.,neutral
204,The combination of Kirin and MM in Noconfork P is scary,negative
205,It's lonely that Sano comes out directly when I have to drop Masanao,negative
206,"It was a good match, but after receiving this result, Wakatsuki's work is likely to decrease for a while.",negative
207,"When I see people like that, I'm starting to feel a kind of sadness, thinking that they'll probably lose their sugar when they get stressed somewhere in the future.",negative
208,"There are a lot of people who have a little bit of paranoia, but I feel like it's already ""started"" with people who make imaginary enemies and get angry.",negative
209,"Senga Kodai in Gamagori
Yasuhiro Ogawa from Tahara
Two no-no achievers have come out from Higashi Mikawa",neutral
210,Next is Kento Fujishima from Toyohashi (wishful observation),neutral
211,"I'm jealous that Ogawa and Ohno's reactions when they achieve their goals are shown properly
Former Orix West, the moment the game ended, the camera overtook Kokubo.",negative
212,"Anime This Art Club Has Problems, Week 2 Completed

Even though it's the second time, I'm getting lonely",negative
213,"As a comedy, the individual scenes aren't particularly interesting, but the structure, tempo, and direction are good, so if you watch the whole thing, you'll naturally laugh.",positive
214,"""Take the initiative"" ← Real Kaguya-sama
""It's really troublesome"" ← I'm actually Guile",neutral
215,"By the way, after 4 years, why is there still no talk about the 2nd season?",negative
216,Do you guys watch anime?,neutral
217,"I'm not saying anything bad, but I feel reluctant to mute people I don't like, so I'm glad I started using the list",positive
218,I couldn't breathe when Usami kept playing cute scenes,neutral
219,My facial muscles and cardiopulmonary function are broken and I'm going to sleep,neutral
220,"In the future, we can create a program that learns from FS and generates new FS with Markov chains.",positive
221,"I did something really regrettable
I wish I hadn't spared the trouble and handed it over at a low price",negative
222,"When discord starts up, something like Tips will appear, but it disappears immediately so I can't read it",negative
223,I wonder if abema also has a free distribution period for one course of anime in small portions like gyao,neutral
224,I have to send an email to each place today,negative
225,I feel like going to karaoke after the emergency declaration is over.,neutral
226,"Hamamatsu suddenly turned into a living hell, but Toyohashi remains a mystery as usual",neutral
227,It looks like this month will end without even one CV coming out.,negative
228,Ayana Taketatsu's talk is nice~~,positive
229,It's hot outside,negative
230,The day ends while I'm thinking about what to do while handling trivial tasks,negative
231,It was like a perfect solution when I thought about how to draw the current Yuigahama in the most attractive way.,positive
232,"If you make goods using that photo, it will sell like crazy",positive
233,"Whether it's Irohas or Yuigahama, they talk normally, but when it comes to monologues, travel comes out and the lines turn into strong quirks, which makes me laugh.",positive
234,"It's the same Watari-sensei's work, and Asuha-chan also has that way of speaking in her mind...? Onii seems to have a corresponding scene in the work in the first place",neutral
235,Irohas wasn't even a monologue,neutral
236,I thought Adachi would continue to be in the lower ranks because he wanted to solidify the top batting lineup.,neutral
237,"If you throw well, you will also get unsupported",negative
238,I feel like I saw Kisanuki being hit with a one-bang ball 10 years ago.,neutral
239,"If I remember correctly, he was the only one who submitted videos encoded with lossless compression to CV.",positive
240,"It's annoying because my parents call me every time I step on a fake security warning
I don't remember how to erase",negative
241,It's crazy to see people who don't usually talk about painting are better than those who do! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,negative
242,"If you know a good ori-chara 3D model, the first thing to do is search for it on iwara by entering its name.",positive
243,"I expect that soon there will be new abuses such as ``It seems that you only use the Kansai dialect on the internet'' If you get it right, give me something",neutral
244,"Lancers, if I didn't check that no reply was required, the other party would be asked to reply every time, right?",neutral
245,"Wakatsuki I thought I had completely stopped playing, but I got a voice actor for my wife, so play",negative
246,Are you going to go back to the 3-game series next week?I'm happy because the 6-game series is really boring,positive
247,It turned into a cashier.,positive
248,I want to actively post maniac pages on wikipedia and kill my followers' time (devil),positive
249,The lifting of the state of emergency is approaching (unless it is extended),neutral
250,"I thought that if it was lifted, nothing would work, but if that were the case, the citizens of Aichi wouldn't be able to go out to play forever, so they'd do whatever they wanted.",positive
251,I almost got into an accident twice because I was driving so badly that I couldn't even look at it on Sunday,negative
252,Yamato courier truck driving 25 km and Tokai Kotsu taxi that interfered with lane change,negative
253,"Sachertorte and Christmas were arbitrarily connected in me, but that's Stollen",neutral
254,"I want to rest my eyes, but it takes about an hour and a half to blink, so I'm in trouble.",negative
255,Suru KAN2day free pass revival is serious!,positive
256,The problem is how to get to the area,neutral
257,This year's ORIX seems to be the weakest I've seen in the last 10 years,negative
258,"Noda: You also got a voice actor as your wife, so get some results.",neutral
259,Just call it real (Jones strikes out),neutral
260,"Nishimura's dismissal has finally come
But now, no matter who the coach is, the team's strength has fallen to the point where they can't win.",negative
261,"It's impossible to aim for class A from now on, so I want the 1st army to turn around and get the 2nd army serious, but I raised Nakajima.",negative
262,"If there is a timing to make it in time for the dismissal of the director, it will be about the 2nd or 3rd of the 6 marin races.",neutral
263,"I don't care about my achievements as a player when I'm a coach, but Tsuji and Saito are the 1st Army coaches, don't they sound dark?",negative
264,Gotts seems more apt as a 2nd Army coach,positive
265,Kazaoka can't be blamed! !,negative
266,"Breakdance Takehara himself returned the HR, and it was the year he won the match and came second, so it's a good memory.",neutral
267,I couldn't do anything that I thought I'd try to do,negative
268,It wasn't a good day to encounter strange driving cars in the morning,negative
269,Applying for urgent projects while writing in my profile that I can't accept urgent projects,neutral
270,The tree eyes are god,positive
271,"As soon as I heard her voice, I knew it was Miyu Tomita, but it's not because I'm a disgusting otaku, it's my fault that Miyu Tomita's voice is easy to understand.",neutral
272,"Oshiro's return is the most exciting element
What is the intention of No. 4 Nakagawa?
To be honest, I only think of Raoh as the flower of the digestive match.",neutral
273,"Come to think of it, how is Nishino doing?
Why can't I go up because the appointment of the infielder of the 1st army is solidifying. he is my favorite player",positive
274,I'm glad that Fukuya has been able to establish himself in the starting line-up thanks to the overcrowded schedule and the poop pitchers.,positive
275,"There is still a ball control loss bug like the Softbank game, but even so, I'm a different person than I was until last year",positive
276,"Also, if I don't watch the game, I get points! ! ! !",negative
277,Jones HR felt the same way... and Fukuya couldn't win again,neutral
278,"Harue Nishi When director Harue Hartopia is gone, for some reason Jones launches the grass",neutral
279,"It's a country of dance and movies, and maybe it will develop a lot.",positive
280,Is Jones HR serious for two days in a row since Nishioji Oike resigned?,neutral
281,hey hey it's real,neutral
282,"In the past, when I pasted the onedrive link, a preview appeared.",negative
283,"If you're looking for super maniac video material, there's a site that matches 100%! became",neutral
284,"Since it's money, let's travel with both 18 ticket and Surukan 2day.",positive
285,Isn't there a lot of areas in Kinki that can't be accessed at all unless it's a private railway?,neutral
286,I don't think I can get my money's worth by taking the JR to a nearby area and supplementing it with a private railway.,neutral
287,"When the real thing comes to Japan, you can try various things and fight and win, but I'm worried about what will happen when the fake comes to Japan and the batting line is over.",neutral
288,Did Chunichi's ace come from the professional baseball world of Showa (confused)?,negative
289,Afraid of companies asking for serious jobs on Sundays,negative
290,How do people who make MVs on commission hold meetings?,neutral
291,"I want to play Youtube on my TV while babysitting in the living room, but there are no good videos",negative
292,"Youtube video editing request I come here occasionally, but I only watch Beyblade videos, so I'm ignorant of the whole genre.",negative
293,"After updating the Twitter app, the scrolling problem was fixed",positive
294,"It should have been fixed before that I can't fabo from TL, can I go back to the app now?",neutral
295,"From now on, masks with heat sinks will be popular",positive
296,I just found out that Chika Anzai got married on the 1st of this month.,neutral
297,Will Yamaoka come back?,neutral
298,It seems that only those who can endure the same topic that comes up many times without participating in it every time can sign up for Twitter2.,negative
299,"All of a sudden, ""What is this life?""",neutral
300,Don't remember your decent college days.,negative
301,"When I watched the baseball broadcast and the CV at the same time, the CV song was replaced with Izago Wakataka Gundan.",neutral
302,It is necessary to distinguish between ensuring visibility and creating a pen-like image.,negative
303,"I was waiting for the whole family to go to bed to do that, but it was this time and I lost sleep",negative
304,Ore Guile complete episode 7: 490 million points (10 million points deducted because Irohas didn't appear),positive
305,"How many episodes has it been since I, Guile, did comedy all the way through?",neutral
306,"On top of not appearing, Irohas has a worse image than I imagined from the rest of the year...",negative
307,"Tamanawa Orihon, but when that brother came out, I thought again that this anime has been around for a long time.
Is this the first time she's been drawn in a character design from the second season onwards?",neutral
308,"After the 2nd season, I went to the Takasu Community Center, so it feels like the story is unfolding in a familiar place.",neutral
309,The tumbler is too convenient Awesome (Ancient),positive
310,I've been wanting to eat pondering,neutral
311,I'm scared of flying to the warning track with the way I'm hitting now,negative
312,"It's so plain, but the results of my work have been posted online",positive
313,"I haven't made anything too large recently, and only for such cases, the other party won't disclose it no matter how long it takes.",negative
314,2D content is good for the brain,positive
315,"If my Guile was broadcast as cool as Kaguya-sama as planned, the anime muscle would have been torn, so I'm honestly glad that it didn't fit.",positive
316,"If you watch it at the same time, your emotions will be shaken too much and it will become a candy in your head",negative
317,I'm getting some kind of bulky request,neutral
318,"I'm sure there will be a platform that will replace C's site, but I'm surprised there aren't any candidates for it.",negative
319,"There is a danger in the research project of Lancers and it is awesome
I will not approve anything other than 〇〇's opinion! If you're prepared to throw away fairness that much, you don't have to submit any more projects.",negative
320,Geeks are impatient,negative
321,Mazoku 2nd season is really fun,positive
322,"I'm crying because I want to go to Sangi Railway
Last time I just got on the train, so this time I want to shoot cargo",positive
323,"Yamaoka is the main force, although he is not as absolute as an ace and has no luck as a winner.",positive
324,Excellent inning eater at the top of the team,positive
325,Wakatsuki can't hit at all and it's time to change his batting form,neutral
326,"The slider has gotten better at Yamaokakyu
it's too late",neutral
327,I realize that the rotation of mediation is the rotation of rotation,neutral
328,official announcement coming,positive
329,"Na Kobayashi I think that if I had a little more skill, I would have become a good intermediary.",neutral
330,"I think I decided to acquire it based on my impressions of my time at Softbank.In addition, considering the current situation, there is little need to increase the number of cards on the left.",negative
331,"As an Orix Buffaloes fan, ulcerative colitis is not someone else's problem.",negative
332,"It's easier to support people who draw in a fixed genre or character, but I also want to support people who draw widely.",positive
333,"Now that I think about it, you've returned to three consecutive card battles.I definitely prefer this one.",positive
334,One hand row is difficult,negative
335,"My form is not good, so my deltoid muscle comes before my latissimus dorsi muscle",negative
336,Is it an era where 2D marketing consulting is required? Maybe it's already there,neutral
337,"When I learned that Kimino Ima and Mirai's CVs were changed to Taketatsu halfway through, I suddenly became a proponent.",neutral
338,I also recommend Mina-chan (voiced by Yoshimi Kohara) because she's a super-choro otaku.,positive
339,"This time TwitCasting touched on Chika Anzai, so passing score",positive
340,Let me hear Cass talking about the things that nerds love all their lives,positive
341,"If there is numbness, isn't it a mild heat stroke??",negative
342,"Morning run and breakfast are over, so today is over. Thank you for your hard work. good night.",positive
343,nothing can be accomplished,negative
344,What is the meaning of spending precious time in life doing something you are not good at?,negative
345,I have a desire to go see the preserved vehicle,positive
346,"Was the Hokutetsu 6010 series storage location just a short walk from Select Grand Kaga Yamanaka?
I didn't do anything",negative
347,"If I knew Herenz would make an instant CV, I would have put it out (antenna extremely low)",neutral
348,"If there were horses who only appeared in CVs around Taiwan, China, Hong Kong, I would have died",negative
349,It's been a long time since I talked to you,positive
350,I'm happy that Nanoko and Lilia's videos are increasing little by little...,positive
351,Watch baseball (stereotypic behavior),neutral
352,"The game starts at 0-0, so it's a phenomenon that you see, Tetris is slow at the beginning, so it's similar to starting over.",neutral
353,"The people who were doing it as an inner circle thought that they were the biggest faction, and suddenly started to change ""for themselves"" to ""for everyone"".",negative
354,"From now on, it's time to be open-minded and lively with your inner circle.",neutral
355,Fine multi-ball discontinued color is cool and I want to use it for remodeling,positive
356,The real thing has arrived!,positive
357,"Martin is a good character, you know Wheeler and Morgan",positive
358,"Although it is the same camera as the video for CV, the image quality is low because it is not in focus if it is handheld.",negative
359,no more editing,negative
360,"I think there is an idea that if you don't make people who work with the same style as you, your position will be in danger.",neutral
361,"It is common to rely solely on the number of people working on the criteria for value judgments, so even if there is a background to the majority/minority due to other factors, in the end it represents the high or low value. be thought to be terrifying",negative
362,"Today seems to be the end of August, awesome",neutral
363,I'm invincible because I think it will be October soon,neutral
364,It seems like it's 8/31 and I'm not sure,negative
365,It was so cute that I cried.,positive
366,Waste of treasure...,negative
367,"I didn't know that in Pen-Awa City, people would ask if it was Malaysia, the Philippines, or Vietnam.",neutral
368,"How did you imagine 50,000 customizations for less than 10,000 services?",neutral
369,A person nicknamed Shamiko because he is forced to commit crimes,negative
370,I'm feeling sick from using my head too much,negative
371,I got my health back with enough sugar,positive
372,Is tap water too bad??,negative
373,"When I see topics like that, I think, ``I wonder if I'll be able to get my annual salary because of some mistake.",neutral
374,"But if you really get it, you won't have a face to match with other social misfits.",neutral
375,The world that God only knows is the home of the soul,positive
376,I don't want to work hard...everything...,negative
377,It seems that it is better to start the Neri early.,neutral
378,what is september,negative
379,I like Isuzu...,positive
380,"I got an e-mail about the annual conference of the Japan Society of Mechanical Engineers.
Sarcastic?",negative
381,Writing a for sentence is very science-like! (26 years old),positive
382,"For the first time in a long time, I thought I could do it",positive
